Heure UTC	Minute UTC	Seconde UTC	Heure UTC	Secondes mission	Latitude x 1000000	Longitude x 1000000	Altitude (m) x 100	Distance (m)	Speed (m/s) x 100	State GPS (Ok = 0 else False)	Speed (km/h)	Altitude (m)	Latitude 	Longitude
13	17	4	13:17:04	0	43218053	4294920790	43330	96	3	0	0,108	433,3	43,218053	-0,042949208
13	17	5	13:17:05	1	43218053	4294920791	43320	96	4	0	0,144	433,2	43,218053	-0,042949208
13	17	6	13:17:06	2	43218053	4294920791	43320	96	1	0	0,036	433,2	43,218053	-0,042949208
13	17	7	13:17:07	3	43218053	4294920791	43320	96	3	0	0,108	433,2	43,218053	-0,042949208
13	17	14	13:17:14	10	43218441	4294921037	43370	76	3	0	0,108	433,7	43,218441	-0,04294921
13	17	15	13:17:15	11	43218775	4294921158	43540	73	3	0	0,108	435,4	43,218775	-0,042949212
13	17	17	13:17:17	13	43219298	4294921449	43810	110	3103	0	111,708	438,1	43,219298	-0,042949214
13	17	17	13:17:17	13	43219298	4294921449	44120	110	3103	0	111,708	441,2	43,219298	-0,042949214
13	17	18	13:17:18	14	43219520	4294921607	44450	134	2774	0	99,864	444,5	43,21952	-0,042949216
13	17	19	13:17:19	15	43219689	4294921726	44820	153	2134	0	76,824	448,2	43,219689	-0,042949217
13	17	20	13:17:20	16	43219817	4294921823	45280	168	1644	0	59,184	452,8	43,219817	-0,042949218
13	17	23	13:17:23	19	43216326	4294919657	188060	282	1711	0	61,596	1880,6	43,216326	-0,042949197
13	17	24	13:17:24	20	43216183	4294919548	196280	299	1608	0	57,888	1962,8	43,216183	-0,042949195
13	17	25	13:17:25	21	43216054	4294919445	202600	315	1698	0	61,128	2026	43,216054	-0,042949194
13	17	26	13:17:26	22	43215927	4294919349	207780	330	1596	0	57,456	2077,8	43,215927	-0,042949193
13	17	27	13:17:27	23	43215804	4294919257	207780	346	1473	0	53,028	2077,8	43,215804	-0,042949193
13	17	28	13:17:28	24	43215686	4294919165	207780	360	1418	0	51,048	2077,8	43,215686	-0,042949192
13	17	29	13:17:29	25	43215586	4294919070	207780	373	1297	0	46,692	2077,8	43,215586	-0,042949191
13	17	30	13:17:30	26	43215494	4294918970	207780	385	1233	0	44,388	2077,8	43,215494	-0,04294919
13	17	36	13:17:36	32	43215060	4294918315	236900	447	1233	0	44,388	2369	43,21506	-0,042949183
13	17	37	13:17:37	33	43215087	4294918300	238040	445	1233	0	44,388	2380,4	43,215087	-0,042949183
13	17	39	13:17:39	35	43215096	4294918325	237469	443	211	0	7,596	2374,69	43,215096	-0,042949183
13	17	40	13:17:40	36	43215100	4294918328	235940	443	331	0	11,916	2359,4	43,2151	-0,042949183
13	17	41	13:17:41	37	43215074	4294918327	232800	445	456	0	16,416	2328	43,215074	-0,042949183
13	17	42	13:17:42	38	43215069	4294918373	230330	445	205	0	7,38	2303,3	43,215069	-0,042949184
13	17	43	13:17:43	39	43215076	4294918366	228840	444	447	0	16,092	2288,4	43,215076	-0,042949184
13	17	44	13:17:44	40	43215046	4294918387	225950	447	322	0	11,592	2259,5	43,215046	-0,042949184
13	17	45	13:17:45	41	43215042	4294918409	222069	446	371	0	13,356	2220,69	43,215042	-0,042949184
13	17	46	13:17:46	42	43215018	4294918437	218800	448	290	0	10,44	2188	43,215018	-0,042949184
13	17	47	13:17:47	43	43215004	4294918473	216680	449	154	0	5,544	2166,8	43,215004	-0,042949185
13	17	48	13:17:48	44	43214995	4294918525	215040	448	141	0	5,076	2150,4	43,214995	-0,042949185
13	17	49	13:17:49	45	43214997	4294918625	212160	446	347	0	12,492	2121,6	43,214997	-0,042949186
